,0,1
0,zeal,43
1,life,16
2,man,13
3,fortune,11
4,think,10
5,way,9
6,day,8
7,success,8
8,work,8
9,better,6
10,live,6
11,things,6
12,true,5
13,forward,5
14,words,5
15,real,5
16,future,5
17,make,5
18,living,5
19,great,5
20,change,5
21,past,5
22,want,4
23,friend,4
24,wisdom,4
25,happiness,4
26,does,4
27,doing,4
28,genius,4
29,father,4
30,lives,4
31,history,4
32,freedom,4
33,people,4
34,difference,4
35,really,4
36,fear,4
37,truth,4
38,begin,4
39,foul,4
40,believe,4
41,best,4
42,courage,4
43,dont,4
44,conquer,4
45,just,4
46,thing,3
47,fusing,3
48,destiny,3
49,count,3
50,did,3
51,knows,3
52,spent,3
53,makes,3
54,read,3
55,doubt,3
56,talent,3
57,means,3
58,help,3
59,pen,3
60,mind,3
61,power,3
62,holding,3
63,party,3
64,imagination,3
65,ideas,3
66,knowledge,3
67,fault,3
68,let,3
69,end,3
70,try,3
71,impossible,3
72,good,3
73,lost,3
74,figured,3
75,like,3
76,learn,3
77,mans,3
78,world,3
79,right,3
80,know,3
81,health,3
82,time,3
83,love,3
84,highest,2
85,long,2
86,secrecy,2
87,backbone,2
88,yesterday,2
89,scholar,2
90,matter,2
91,wants,2
92,consider,2
93,going,2
94,master,2
95,arithmetic,2
96,failures,2
97,adventures,2
98,fertilize,2
99,little,2
100,nonknowledge,2
101,island,2
102,animosity,2
103,registering,2
104,pictures,2
105,thoughts,2
106,search,2
107,meaning,2
108,stronger,2
109,youd,2
110,invention,2
111,fun,2
112,makers,2
113,opportunity,2
114,return,2
115,evident,2
116,reap,2
117,friends,2
118,die,2
119,ability,2
120,adventure,2
121,worthwhile,2
122,tongue,2
123,soon,2
124,hold,2
125,greatness,2
126,nice,2
127,bridges,2
128,ones,2
129,prepare,2
130,principle,2
131,america,2
132,hope,2
133,dream,2
134,wealth,2
135,labor,2
136,happen,2
137,year,2
138,art,2
139,dreams,2
140,chance,2
141,idealism,2
142,honor,2
